FrameNumber,ROI
635,"[325, 33, 701, 531]"
636,"[324, 33, 702, 531]"
637,"[324, 33, 702, 531]"
638,"[324, 33, 702, 532]"
639,"[322, 32, 702, 532]"
640,"[322, 32, 701, 532]"
641,"[323, 32, 702, 532]"
642,"[326, 32, 702, 532]"
643,"[327, 32, 702, 532]"
644,"[327, 32, 702, 532]"
645,"[325, 32, 703, 532]"
646,"[325, 32, 703, 531]"
647,"[324, 32, 703, 531]"
648,"[324, 32, 703, 531]"
649,"[323, 32, 702, 531]"
650,"[323, 32, 702, 531]"
651,"[324, 32, 703, 532]"
652,"[324, 32, 703, 532]"
653,"[324, 32, 702, 532]"
654,"[324, 32, 703, 532]"
655,"[324, 33, 703, 532]"
656,"[324, 33, 703, 532]"
657,"[322, 33, 702, 532]"
658,"[322, 33, 702, 532]"
659,"[323, 33, 702, 532]"
660,"[323, 33, 702, 532]"
661,"[324, 33, 702, 532]"
662,"[326, 33, 702, 531]"
663,"[325, 33, 702, 531]"
664,"[325, 33, 703, 531]"
665,"[326, 33, 703, 531]"
666,"[326, 34, 703, 531]"
667,"[325, 34, 703, 531]"
668,"[325, 34, 703, 531]"
669,"[325, 34, 703, 531]"
670,"[325, 34, 702, 531]"
671,"[325, 33, 702, 531]"
672,"[325, 33, 703, 531]"
673,"[325, 33, 703, 531]"
674,"[325, 33, 703, 531]"
675,"[324, 33, 705, 531]"
676,"[324, 33, 705, 531]"
677,"[324, 33, 705, 531]"
678,"[324, 33, 705, 531]"
679,"[323, 33, 705, 531]"
680,"[322, 33, 706, 531]"
681,"[322, 33, 706, 532]"
682,"[322, 33, 706, 532]"
683,"[322, 33, 706, 532]"
684,"[322, 33, 706, 531]"
685,"[323, 33, 706, 531]"
686,"[323, 33, 707, 531]"
687,"[323, 33, 707, 531]"
688,"[323, 32, 706, 531]"
689,"[323, 32, 706, 531]"
690,"[323, 33, 706, 531]"
691,"[323, 32, 706, 531]"
692,"[323, 32, 707, 531]"
693,"[323, 33, 707, 531]"
694,"[324, 33, 707, 531]"
695,"[324, 33, 706, 532]"
696,"[324, 33, 706, 532]"
697,"[323, 33, 706, 532]"
